Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE
Foevul1	25.32	161325	31.17	175.65	86.7	168.69	96435	14025	40365	28935	43545	1267.59	3885	218.91	58.08	61935	31125	8.43	795	1.83	3015
Foevul2	0.0	85.08	143.4	503535	77805	240765	124425	64575	61.92	19905	57165	2784.3	3195	74355	93.78	103125	142275	18375	9345	6105	23715
Foevul3	0.0	108585	153.54	638.7	113865	402.03	109485	69135	49725	69345	113385	3250395	6.78	287475	41295	73485	211575	65.91	7.98	4365	12.57
Orivul1	18075	74865	67365	64125	434205	131955	73125	30.33	28365	27.75	142.65	222.42	192255	1096275	154815	318.21	293625	432435	106.23	53.79	87645
Orivul2	201405	261195	413295	278.55	266865	277215	203.82	54975	42375	56685	255.27	1953.21	5268.6	4740.66	550155	1165.29	619.98	231645	735	48045	104.82
Orivul3	172935	255735	372.0	237375	1507935	256.89	184.32	47265	41925	60.63	253335	1573845	4638495	3807.15	481.38	926.91	588615	438615	888315	49.5	105405
Thyvul1	161.49	95115	61935	90495	336.42	294.24	67.95	27885	153.0	58845	405.15	830.25	480135	849.39	218.7	405795	144015	331215	90975	46.32	163.44
Thyvul2	24735	89475	179.4	309615	871.8	333.39	120435	80775	74955	79005	131.91	1274535	900315	2201.1	348.24	413.97	133515	118635	201.9	32.34	397.44
Thyvul3	200775	58.65	133215	107115	729135	390.9	38.16	59985	153.24	104775	881.67	73.83	70.59	1818255	246.42	1140915	344985	119235	2177.85	191085	77.46
Valoff1	146145	1124.43	215.58	470565	358485	473.4	416085	97065	78.51	89895	276855	470.49	958.62	905.1	462.0	361485	247.17	82125	42795	28.02	60.06
Valoff2	209355	837285	0.54	1016955	72.12	96.09	21165	0.24	30405	36255	314655	103515	1094415	211155	73725	68.76	63.09	11295	0.66	945	4005
Valoff3	84045	1701.84	197.82	2166465	153225	399.6	424725	89.07	93945	124.92	290.64	323.64	1339.65	496215	191235	288.99	71175	100.71	25425	12.78	14685
Pruavi1	58.56	756645	15.24	114.51	1515	70.65	49215	6855	16815	4.74	20715	5.34	3.66	3825	0.78	1.29	17.88	1.2	2475	0.18	2295
Pruavi2	95.94	1545165	62.49	210.93	20.1	125925	72705	28.14	206445	37665	65.31	95.55	68745	50745	2.64	855	18.69	795	3765	0.27	2.88
Pruavi3	98205	1423755	57.96	198.63	1005	37.26	66885	26.1	29535	13.68	13185	1125	3.9	3.51	26745	6555	14325	0.54	0.48	1845	0.75
Ficcar1	27045	26775	5.64	5505	0.3	9.36	13.02	2535	1635	1515	4.53	1.11	3045	0.75	0.0	0.0	40425	1065	2.67	2295	2415
Ficcar2	8.13	38595	7.71	11.46	765	10.98	11.97	3465	1755	0.72	4275	2.19	3.12	1.92	0.0	0.0	34935	2265	2445	195	2.58
Ficcar3	0.0	26.22	7.86	7545	0.51	9855	8.79	3.54	0.45	645	7.26	62595	4.8	3.0	0.0	0.0	18.96	0.78	0.0	1.47	2085
Prudom1	0.0	451.35	10365	18.12	0.3	33.87	17.88	3.36	5685	1275	1.44	12.72	4725	765	1395	1.77	43515	525	615	285	2385
Prudom2	0.0	105.42	17085	8685	23.94	29625	12.21	7695	2.49	0.21	1.62	21675	28.23	60465	615	4.02	39735	435	2295	1.95	3075
Prudom3	0.0	5755845	152.04	139.02	6765	3555	170.13	48195	62955	238695	48585	59205	51195	37.47	1005	14.37	7995	0.39	0.0	1.02	2.31
